100th Date,Close,MACD_diff_pytorch,Decision MACD_pytorch,SMA20_pytorch,SMA50_pytorch,Signal_pytorch,Decision GC_pytorch,RSI_pytorch,SMA200_pytorch,Decision RSI/SMA_pytorch,Decision Financial Status,Date,Decision GC_transformers,Decision MACD_transformers,Decision RSI/SMA_transformers,MACD_diff_transformers,RSI_transformers,SMA200_transformers,SMA20_transformers,SMA50_transformers,Signal_transformers
2017-11-28,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-06,False,False,False,-0.0005642151204438596,0.017751603894325285,47.5918325,47.54326825,47.586326719999995,False
2017-11-29,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-07,False,False,False,-0.0004632246030233031,0.016257002313523117,47.59147595,47.540159849999995,47.58359404,False
2017-11-30,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-10,False,False,False,-0.0003585112749186284,0.014824628357459346,47.591121275000006,47.53709335,47.5808511,False
2017-12-01,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-11,False,False,False,-0.0002535839806291386,0.013521431232064174,47.590767535,47.53405335,47.57809657999999,False
2017-12-04,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-12,False,False,False,-0.00014278751958664987,0.012390737541636554,47.59041602,47.5310562,47.575336560000004,False
2017-12-05,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-13,False,False,False,-4.043210750019274e-05,0.011295258120128437,47.59006517000001,47.5280907,47.572565839999996,False
2017-12-06,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-14,False,True,False,5.6911268515650454e-05,0.010317336503419483,47.589714335,47.52515699999999,47.5697879,False
2017-12-07,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-18,False,False,False,0.00015768685229891263,0.009476299955508694,47.58936361,47.52228275,47.567012999999996,False
2017-12-08,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-19,False,False,False,0.0002594386910300672,0.008712245756100856,47.58901376000001,47.51947785,47.56423874,False
2017-12-11,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-20,False,False,False,0.0003587489095409971,0.008009799785270388,47.588665125,47.516735350000005,47.56147,False
2017-12-12,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-21,False,False,False,0.00045241963062502,0.007359918214618233,47.588317925,47.51406095,47.558700720000004,False
2017-12-13,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-24,False,False,False,0.0005406346069651742,0.0067684015151314725,47.587972810000004,47.51143810000001,47.55592926,False
2017-12-14,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-25,False,False,False,0.0006233386798910959,0.006228618801401353,47.587629185,47.50887085,47.55316129999999,False
2017-12-15,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-26,False,False,False,0.000696130431928163,0.005718975143324201,47.587287315000005,47.50635615,47.55039968,False
2017-12-18,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-27,False,False,False,0.0007677091264797556,0.005279163155861966,47.586946945,47.50390994999999,47.54765278,False
2017-12-19,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-02-28,False,False,False,0.0008470015306228547,0.004910981470558795,47.58660879,47.5015351,47.54492244,False
2017-12-20,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-02,False,False,False,0.000921850728650378,0.004547355790720076,47.58627184,47.49923905000001,47.542209760000006,False
2017-12-21,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-03,False,False,False,0.0010012280999761938,0.004243373922818705,47.58593648,47.4970267,47.539518120000004,False
2017-12-22,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-04,False,False,False,0.0010772558189127424,0.003950762290131138,47.585602235,47.4948979,47.53684608,False
2017-12-26,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-05,False,False,False,0.001131852089963227,0.0036324079159726352,47.585267875,47.49282215,47.53419503999999,False
2017-12-27,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-06,False,False,False,0.0011989720886683326,0.0034200080721120685,47.58493494500001,47.490835450000006,47.531575860000004,False
2017-12-28,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-09,False,False,False,0.0012538420430264693,0.003173648858876277,47.584602745000005,47.4889071,47.528985760000005,False
2017-12-29,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-10,False,False,False,0.001321082109779232,0.003006077051153966,47.584272525,47.4870614,47.52643371999999,False
2018-01-02,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-11,False,False,False,0.0013836684494975028,0.002823959230681794,47.583942895,47.48529175,47.52391792,False
2018-01-03,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-12,False,False,False,0.0014493478280814404,0.002678177783465685,47.583614829999995,47.483599549999994,47.521442019999995,False
2018-01-04,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-13,False,False,False,0.0015182605107124346,0.0025540799978074347,47.583287155,47.4819963,47.51900922,False
2018-01-05,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-16,False,False,False,0.0015719159999647778,0.0024020609499899592,47.582959015,47.48046965,47.5166155,False
